,x,m/z,intensity,resolution,noise,S/N
143,4,431.9814453125,4945881.0,85906.0,14323.7353515625,345.29268229327346
144,5,526.9586791992188,4689052.5,78106.0,13989.0283203125,335.1950108780144
145,6,526.958740234375,4907990.5,78406.0,14643.56640625,335.16360453729544
146,6,1283.9697265625,5486494.0,49406.0,16528.802734375,331.93535479673443
147,4,526.9586791992188,4626502.0,78006.0,14409.90234375,321.0640773014434
148,2,444.9919738769531,4036699.5,85602.0,12582.171875,320.8269240083004
149,4,1034.9891357421875,5272995.5,55302.0,16455.076171875,320.44795447453464
150,3,526.9585571289062,4535616.0,78106.0,14499.80078125,312.80540115179383
151,6,1133.9796142578125,5079968.0,53006.0,16348.697265625,310.7261647496044
152,5,1034.9893798828125,5159980.5,55402.0,16669.42578125,309.5475853645791
153,1,526.9585571289062,3926047.5,78506.0,12916.365234375,303.9591579178486
154,1,1034.9888916015625,4584065.5,55002.0,15126.7314453125,303.0440195605191
155,7,1034.9892578125,5582814.5,55502.0,18484.15625,302.0324230379734
156,3,1034.989013671875,5107693.5,55202.0,17174.451171875,297.40068249542634
157,2,1283.9693603515625,4439878.0,49706.0,15151.3203125,293.0357162561637
158,6,444.9920349121094,4108446.5,85402.0,14235.8818359375,288.59796304493835
159,7,444.9920654296875,4479672.0,85302.0,15555.6044921875,287.97800832811276
160,2,1133.9793701171875,4251768.0,53206.0,15016.6630859375,283.13667128761847
161,3,1283.9691162109375,4716052.0,49806.0,17508.37890625,269.35971772443776
162,2,319.9826354980469,3324661.75,100602.0,12362.9990234375,268.92032780211173
163,5,444.9920349121094,3628970.5,84702.0,13688.859375,265.1039360246186
164,5,1283.969482421875,4463217.5,49506.0,16856.1796875,264.7822687432419
165,1,444.9919128417969,3442658.75,84602.0,13014.08984375,264.5331937410385
166,3,444.991943359375,3762064.5,85102.0,14497.736328125,259.49323500260886
167,4,1283.9696044921875,4260232.5,49406.0,16559.576171875,257.2670010260066
168,4,444.99200439453125,3668960.75,85102.0,14335.162109375,255.9413505062876
169,7,1283.9697265625,4795949.0,49306.0,19094.087890625,251.17455347813507
170,1,1133.9793701171875,3803746.25,53006.0,15191.5341796875,250.38591922374528
171,2,697.9602661132812,3575044.75,67606.0,14326.50390625,249.54062577963427
172,5,1133.9796142578125,4185355.75,53206.0,16784.005859375,249.36572264494274
173,7,1133.979736328125,4687491.0,53406.0,18815.572265625,249.1282717222364
174,4,1133.9794921875,4056098.0,53106.0,16486.259765625,246.02899976483732
175,5,319.9826965332031,3252024.25,100602.0,13284.0048828125,244.80751691138184
176,1,697.960205078125,3333496.75,67306.0,13679.3056640625,243.68903158276333
177,7,319.9826965332031,3734669.75,100202.0,15444.4248046875,241.8134567799831
178,5,697.9603881835938,3601010.75,67606.0,14998.060546875,240.09842730967688
179,1,1283.9693603515625,3667941.25,49406.0,15316.185546875,239.48137992807088
180,3,1133.9793701171875,4110269.5,52906.0,17329.01171875,237.1900698498972
181,6,319.9826965332031,3400551.5,100102.0,14366.958984375,236.6925042173727
182,3,697.9602661132812,3607619.25,67706.0,15555.7314453125,231.91575803959415
183,4,319.982666015625,3311555.25,100702.0,14282.92578125,231.85412433825462
