,x,m/z,intensity,resolution,noise,S/N
94,46,279.2331848144531,752198.9375,53402.0,366.3604736328125,2053.1661891394347
95,53,279.233154296875,688947.125,53502.0,335.6695556640625,2052.456391635043
96,64,279.233154296875,712230.1875,53402.0,355.7203369140625,2002.2194785901875
97,48,279.2331848144531,669321.625,53402.0,335.22308349609375,1996.6453921357102
98,43,279.233154296875,682153.25,53602.0,348.2860412597656,1958.6006017715274
99,71,279.233154296875,667816.4375,53502.0,344.0091247558594,1941.2753599891985
100,47,279.233154296875,664990.5,53702.0,346.22821044921875,1920.6710485468489
101,70,279.233154296875,622917.125,53602.0,330.17315673828125,1886.6376999077743
102,14,281.2487487792969,597054.6875,53906.0,321.51849365234375,1856.983966047042
103,32,279.2331848144531,606876.5,53602.0,332.041748046875,1827.7114355943158
104,72,279.233154296875,614641.0625,53802.0,340.21893310546875,1806.6045204764066
105,33,279.2331848144531,609071.0625,53402.0,337.3381042480469,1805.5210924294106
106,77,279.233154296875,570719.25,53602.0,326.00146484375,1750.6646796005698
107,81,281.24871826171875,517554.25,53807.0,296.12628173828125,1747.7484502960076
108,28,279.233154296875,600251.875,53702.0,347.812255859375,1725.7927657462697
109,27,279.233154296875,594691.1875,53602.0,349.9710998535156,1699.2579894423131
110,31,279.233154296875,583134.3125,53602.0,344.6292419433594,1692.0627779921226
111,79,279.2331237792969,535277.625,53502.0,317.4971008300781,1685.9291741579596
112,26,279.233154296875,553159.125,53502.0,328.906005859375,1681.8152151241204
113,68,279.233154296875,576145.5,53802.0,342.9844665527344,1679.800562954698
114,73,279.233154296875,532368.875,53702.0,323.5685729980469,1645.3046415085976
115,78,279.2331848144531,547597.375,53602.0,333.8759460449219,1640.1222714209027
116,76,279.233154296875,553044.8125,53602.0,337.40179443359375,1639.1282489425182
117,30,279.233154296875,567736.25,53602.0,346.4602355957031,1638.6765108089107
118,80,279.2331237792969,531410.9375,53702.0,325.4524841308594,1632.8372447952431
119,74,279.233154296875,545033.5625,53802.0,334.7687683105469,1628.0896370667465
120,75,279.2331237792969,499166.59375,53702.0,312.2862854003906,1598.4262424781323
121,29,279.233154296875,538727.8125,53502.0,339.7478332519531,1585.6696048462672
122,69,279.2331237792969,519954.15625,53602.0,329.0813293457031,1580.01718688751
123,25,279.233154296875,496849.28125,53802.0,330.8130798339844,1501.9033754630846
124,22,279.2331848144531,466967.6875,53702.0,336.8223876953125,1386.3914768112627
125,13,281.24871826171875,387997.25,53706.0,281.8284606933594,1376.7142219967504
126,61,303.2331237792969,520660.28125,51807.0,379.61480712890625,1371.5489266286675
127,23,279.2331848144531,451260.6875,53602.0,329.1277160644531,1371.0807855866794
128,65,303.2331237792969,499711.0,51707.0,367.3248291015625,1360.4062682673534
129,56,303.2331237792969,533597.8125,51707.0,392.4173583984375,1359.7711749494429
130,62,303.2331237792969,512984.59375,51807.0,377.6590576171875,1358.3272621253657
131,21,279.233154296875,437327.40625,53602.0,322.79583740234375,1354.81117033396
132,50,303.233154296875,519710.4375,51807.0,384.6664123535156,1351.0678884601352
133,51,303.2331237792969,518679.34375,51707.0,384.73974609375,1348.1303894805108
134,66,303.2331237792969,502847.625,51707.0,375.0552062988281,1340.729622079562
135,57,303.2331237792969,507323.78125,51807.0,382.0608215332031,1327.861305469948
136,24,279.2331237792969,418620.15625,53502.0,319.2867126464844,1311.1104836783422
137,55,303.2331237792969,492626.21875,51707.0,376.8332214355469,1307.2791641706629
138,36,255.23309326171875,487120.90625,56407.0,373.9050598144531,1302.7930311821112
139,60,303.233154296875,475356.3125,51807.0,368.5318298339844,1289.865010341543
140,40,255.23309326171875,454293.46875,56407.0,355.340576171875,1278.473383603291
141,20,279.233154296875,407880.1875,53702.0,324.14373779296875,1258.3312276127137
142,49,303.2331237792969,475946.875,52007.0,379.2038269042969,1255.121497284148
143,19,279.2331237792969,411156.53125,53502.0,328.96185302734375,1249.8608196246514
144,35,255.23309326171875,443272.34375,56507.0,365.86578369140625,1211.5709189244196
145,41,255.2331085205078,436711.75,56507.0,360.6277160644531,1210.976668032772
146,39,255.23309326171875,413221.875,56507.0,341.6932678222656,1209.3357227481008
147,38,255.2330780029297,429669.625,56607.0,356.8887634277344,1203.9315019986693
148,63,303.2331237792969,442855.5,51807.0,369.60626220703125,1198.1818093545692
149,58,303.2331237792969,449991.8125,51607.0,375.72186279296875,1197.672685733371
150,37,255.2331085205078,438387.78125,56407.0,367.18585205078125,1193.9125072536065
151,54,303.2331237792969,447684.125,52007.0,376.23974609375,1189.8905675118326
152,67,303.2331237792969,434815.03125,51807.0,368.26544189453125,1180.7109269148532
153,52,303.233154296875,444451.96875,51907.0,377.97198486328125,1175.886008881758
154,51,255.2331085205078,415828.375,56307.0,354.4560546875,1173.1450753933595
155,53,303.2331237792969,407192.8125,51907.0,349.5975646972656,1164.7472797832818
156,42,255.2331085205078,388156.78125,56607.0,339.6711120605469,1142.7429871658044
157,64,303.233154296875,410215.3125,52007.0,359.8845520019531,1139.8525171977199
158,17,279.2331237792969,373206.5,53702.0,327.6039733886719,1139.2001633546274
159,59,303.2331237792969,417183.96875,52007.0,367.295166015625,1135.827550565293
160,15,255.2330780029297,369926.84375,56507.0,327.90692138671875,1128.1458841599895
161,56,255.23309326171875,413425.15625,56307.0,367.9132385253906,1123.7028542572232
162,27,255.2330780029297,370130.90625,56607.0,329.4186706542969,1123.5881242397093
163,45,303.23309326171875,405629.46875,51807.0,362.1597900390625,1120.0290035131975
164,34,255.2331085205078,388792.53125,56207.0,350.4815979003906,1109.3094004909713
165,22,255.2331085205078,365602.09375,56507.0,331.76519775390625,1101.9904927496132
166,57,255.2330780029297,400268.65625,56407.0,364.2921142578125,1098.7573998561127
167,61,255.23309326171875,388409.1875,56307.0,354.9252014160156,1094.3409652242108
168,46,303.2331237792969,416725.96875,51707.0,381.7665100097656,1091.5728798195005
169,17,255.2330780029297,349959.71875,56507.0,320.8050537109375,1090.8796937635914
170,18,279.2331237792969,374435.0,53502.0,343.5713806152344,1089.8317529518845
171,21,255.23309326171875,343783.71875,56607.0,315.50140380859375,1089.6424377197523
172,50,255.23309326171875,395977.53125,56407.0,365.0222473144531,1084.8038281592192
173,60,255.2331085205078,377275.3125,56607.0,347.90142822265625,1084.4316288881244
174,28,255.2330780029297,374676.8125,56407.0,345.6488342285156,1083.9811259201106
